gis_cleared_amount,gis_requests_qty,gis_requests_amount,gis_cleared_qty,gis_item_desc,gis_item_code,total_cleared_item,total_requests_item,value,unit_price,quantity,uom,branch,item_desc,item_id,element_desc,element_id,item_seq,total_cleared,total_requests,date_field,status,item_type,project_name,project_id,source_file,gis_qty,gis_item_name,gis_value,gis_unit_price,request_qty,request_amount,cleared_qty,cleared_amount,total_requests_num,total_cleared_num,total_requests_item_num,total_cleared_item_num,quantity_num,unit_price_num,value_num,gis_qty_num,gis_unit_price_num,gis_value_num,request_qty_num,request_amount_num,cleared_qty_num,cleared_amount_num,_alloc,_used
"35,000",1,"35,000",1,مصنعية بناء ولياسة وحدادة وصب السق,12ERP015,"35,000","35,000",0,0,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,194797,"35,000","35,000",31/12/2023,مقفل نهائي,الصيانة الوقائية للشبكة,صيانة الشبكة الفرعية لكبينة A047-السنترال المركزي A- الحديدة,112424050015,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,35000.0,35000.0,35000.0,35000.0,1.0,0.0,0.0,,,,,,,,,
,,"4,500",2,حديد ابو 8ملم,1101103,,"388,800","414,178",207089,2,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,99142,,"388,800",15/08/2023,منجز,تأهيل تراسل هاتف ثابت,,208030010209,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,388800.0,,388800.0,,2.0,207089.0,414178.0,,,,,,,,,
"2,000",1,"2,000",1,حديد ابو 8ملم,1101103,"146,664.5","156,750","207,089",207089,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,81091,"224,279","260,450",09/05/2023,مقفل نهائي,VIP,,208060013312,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,260450.0,224279.0,156750.0,146664.5,1.0,207089.0,207089.0,,,,,,,,,
"6,600",2,"23,100",7,اسمنت,1101114,"77,614.5","103,700",0,0,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,196857,,,,,,,,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,,,103700.0,77614.5,1.0,0.0,0.0,,,,,,,,,
"2,250",1,"2,300",1,حديد ابو 8ملم,1101103,"175,267","193,420","207,089",207089,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,85666,"369,984.3","406,840",25/06/2023,مقفل نهائي,تراسل محطات  WFBB,توصيل كابل الياف الى موقع محطة WFBB الحماسية _م/ الحديدة,208060013491,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,406840.0,369984.3,193420.0,175267.0,1.0,207089.0,207089.0,,,,,,,,,
"2,250",1,"2,300",1,حديد ابو 8ملم,1101103,"175,717","193,420",0,0,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,167445,,,,,,,,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,,,193420.0,175717.0,1.0,0.0,0.0,,,,,,,,,
"4,800",1,"5,000",1,حديد ابو 12ملم,1101105,"175,717","193,420",0,0,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,167445,"369,984.3","406,840",25/06/2023,مقفل نهائي,تراسل محطات  WFBB,توصيل كابل الياف الى موقع محطة WFBB الحماسية _م/ الحديدة,208060013491,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,406840.0,369984.3,193420.0,175717.0,1.0,0.0,0.0,,,,,,,,,
"6,000.3",.9,"7,000",1,رمل,1101117,"19,000.3","20,000",0,0,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,183129,,,,,,,,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,,,20000.0,19000.3,1.0,0.0,0.0,,,,,,,,,
,,7,7,اسمنت,1101114,,7,"207,089",207089,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,85684,,7,25/06/2023,مقفل نهائي,تراسل محطات  WFBB,,208060013493,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,7.0,,7.0,,1.0,207089.0,207089.0,,,,,,,,,
,,"2,150",1,حديد ابو 8ملم,1101103,,"201,100","207,089",207089,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,98754,,"201,100",15/08/2023,مقفل نهائي,YOU,,208060013600,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,201100.0,,201100.0,,1.0,207089.0,207089.0,,,,,,,,,
,,"10,000",2,حديد ابو 12ملم,1101105,,"118,400",0,0,2,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,140951,,"118,400",03/09/2023,مقفل نهائي,تراسل يمن موبايل,,208060013758,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,118400.0,,118400.0,,2.0,0.0,0.0,,,,,,,,,
,,1,1,حديد ابو 8ملم,1101103,,"44,715",0,0,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,140559,,"44,715",13/09/2023,مقفل نهائي,تراسل يمن موبايل,,208060013837,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,44715.0,,44715.0,,1.0,0.0,0.0,,,,,,,,,
,,1,1,مصنعية بناء ولياسة وحدادة وصب السق,12ERP015,,"44,715",0,0,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,140559,,"44,715",13/09/2023,مقفل نهائي,تراسل يمن موبايل,,208060013837,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,44715.0,,44715.0,,1.0,0.0,0.0,,,,,,,,,
"34,150",1,"34,150",1,مصنعية نجارة وحداده,12ERP0458,"34,150","34,150",0,0,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,204641,"34,150","34,150",13/11/2023,منجز,تراسل يمن موبايل,,208060014201,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,34150.0,34150.0,34150.0,34150.0,1.0,0.0,0.0,,,,,,,,,
"2,200",1,"2,200",1,حديد ابو 8ملم,1101103,"217,070.00","240,080",0,0,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,305832,"217,070.00","240,080",30/12/2023,منجز,سبأفون,,208060014325,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,240080.0,217070.0,240080.0,217070.0,1.0,0.0,0.0,,,,,,,,,
"4,400",2,"4,800",2,حديد ابو 8ملم,1101103,"382,350","415,800",0,0,2,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,217613,"382,350","415,800",07/05/2024,منجز,تراسل هاتف ثابت,دكت ومد كابل الياف ربط بين المبنى الفني وسنترال 7 يوليو-الحديدة,208060014757,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,415800.0,382350.0,415800.0,382350.0,2.0,0.0,0.0,,,,,,,,,
,,"2,200",1,حديد ابو 8ملم,1101103,"112,500","324,001",0,0,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,245139,"544,000","873,501",07/05/2024,جاري الاقفال,تراسل هاتف ثابت,,208060014762,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,873501.0,544000.0,324001.0,112500.0,1.0,0.0,0.0,,,,,,,,,
,,"4,400",2,حديد ابو 8ملم,1101103,"431,500","549,500",0,0,2,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,247457,,,,,,,,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,,,549500.0,431500.0,2.0,0.0,0.0,,,,,,,,,
